Location,Latitude,Longitude,Altitude
Lwagghalel,28.43,83.88,2834.0
Lumle,28.37,83.82,1707.0
Bansing,28.35,83.75,2193.0
Salyan,28.27,83.78,1480.0
Dhampus,28.3,83.83,1815.0
Lahachok,28.3,83.92,1172.0
Hemja,28.27,83.93,1102.0
Kaskikot,28.25,83.9,1170.0
Valam,28.25,84.0,1016.0
Pokhara,28.2,83.98,851.0
Pumdibhumdi,28.2,83.88,1398.0
Kalika_2,28.22,84.07,1046.0
Lekhnath,28.13,84.07,680.0
Rupakot_1,28.13,84.12,824.0
Deurali_1,28.12,84.13,932.0
Thumki,28.15,84.18,854.0
Bhorletar,28.15,84.22,498.0
Bhachok,28.23,84.15,1159.0
Mijuredanda,28.3,84.17,1912.0
Chaimale,27.58,85.25,1637.0
Dakshinkali,27.62,85.25,1636.0
Sikali,27.63,85.27,1434.0
Kritipur,27.65,85.27,1359.0
Chandragiri,27.68,85.22,1470.0
Kalanki,27.68,85.27,1296.0
Balaju,27.72,85.28,1319.0
Kathmandu,27.73,85.5,1348.0
Tokha,27.77,85.32,1357.0
Santidhan,27.78,85.3,1602.0
Jhormahakal,27.8,85.33,1853.0
Tarebhir,27.77,85.38,2148.0
Kappan,27.73,85.35,1364.0
Mulpani,27.7,85.38,1338.0
Sundarijal,27.78,85.42,1796.0
Jarsingpauwa,27.75,85.47,1698.0
Naglebhare,27.77,85.52,1491.0
Sakhu,27.72,85.45,1394.0
Chandanimandan,27.7,85.63,1082.0
Deupur,27.72,85.55,1320.0
Anaikot,27.67,85.58,1039.0
Kuntabesi,27.7,85.6,835.0
Nala,27.67,85.5,1666.0
Sanga,27.62,85.47,1591.0
Banepa,27.63,85.52,1470.0
Dhulikhel,27.62,85.55,1361.0
Panchkhal,27.65,85.62,885.0
Dolalghat,27.62,85.7,914.0
Patlekhet,27.58,85.6,1339.0
Panauti,27.58,85.5,1467.0
Namobuddha,27.57,85.57,16.5
Chalal,27.53,85.48,1739.0
Dhunkharka,27.5,85.48,2043.0
Chamrabesi,27.47,85.45,1703.0
Bethanchok,27.48,85.48,2646.0
SikharAmbote,27.47,85.58,1720.0
Phalametar,27.43,85.5,995.0
Salmechakala,27.37,85.5,506.0
Ghartichap,27.37,85.58,777.0
Banakhu,27.37,85.65,970.0
Buddha Laxmi,27.42,85.67,1458.0
Bhimkhori,27.42,85.75,1159.0
Kushadevi,27.58,85.48,1656.0
Aiselukharka,27.37,86.75,2041.0
Sungdel,27.38,86.87,1959.0
Dubekodanda,27.32,86.72,1336.0
Satteswor,27.32,86.78,1622.0
Khartangcha,27.3,86.88,1750.0
Pattekha,27.27,86.87,1801.0
Kubinde,27.27,86.72,1470.0
Lamidanda_1,27.23,86.65,894.0
Diktel,27.22,86.78,1564.0
Nibanidanda,27.22,86.88,1598.0
Mattimbirta,27.15,86.83,1673.0
Burchim,27.15,86.58,820.0
Dikuwa,27.13,86.5,1236.0
Dhitun,27.15,86.65,913.0
Suntare,27.92,86.78,1173.0
Khotang Bazar,27.03,86.83,1117.0
Rajapani,27.15,86.72,1183.0
Khotang,27.2,86.77,1465.0
Phedi,27.32,86.92,2326.0
Khidima,27.13,86.9,2244.0
Lalitpur,27.65,85.32,1323.0
Godawari,27.58,85.37,1480.0
Muktinath Lalitpur,27.62,85.35,1417.0
Karyabinayak,27.58,85.3,1427.0
Lele,27.57,85.32,1520.0
Husel,27.53,85.32,1254.0
Malta,27.5,85.3,1435.0
Bhattedanda,27.5,85.28,1531.0
gotikhel,27.48,85.38,1618.0
Kaleswor,27.5,85.42,2170.0
Manikhel,27.53,85.4,2212.0
Piutan,27.45,85.27,950.0
Asran,27.45,85.3,980.0
Cimdi,27.43,85.35,1260.0
Kapiram,27.4,85.4,794.0
Khudi,28.38,84.32,2322.0
Bahundanda,28.33,84.43,1886.0
salleri,28.35,84.57,4017.0
Dudhpokhari_1,28.25,84.62,2481.0
Bichaur,28.2,84.58,1947.0
Lamjung,28.28,84.35,901.0
Pasgaon,28.28,84.22,1422.0
Tanje,28.28,84.53,1731.0
Nautha,28.22,84.47,1716.0
Udipur,28.17,84.42,746.0
Ghorletar,28.15,84.22,500.0
Madhenepal,28.08,84.23,440.0
Durdanda,28.15,84.35,1196.0
Tarkhughat,28.1,84.45,766.0
Chiti,28.2,84.42,974.0
Hilebazar,28.23,84.43,1220.0
Siurung,28.32,84.37,1799.0
Daduwa,28.2,84.25,1072.0
Bankechure,27.15,85.82,642.0
Bardibas,27.03,85.87,292.0
Gauribas,27.05,85.92,412.0
Goletoal,27.1,85.82,483.0
Tuteswor,27.0,85.78,224.0
Laxminiha,26.97,85.75,199.0
Dhalkebar,26.93,85.78,164.0
Kisannagar,26.93,85.88,201.0
Bijalpura,26.9,85.85,146.0
Gaushala,26.9,85.78,136.0
Khairbanni,26.85,85.7,104.0
Khopi,26.82,85.77,124.0
Sigihahi,26.82,85.83,121.0
Bagada,26.78,85.87,104.0
Banauta,26.77,85.8,104.0
Manara,26.73,85.75,102.0
Mahottari,26.68,85.82,91.0
Banauli Danauli,26.68,85.87,104.0
Jaleswor_1,26.63,85.78,84.0
Manhari,27.55,84.77,567.0
Handikhola,27.42,84.87,470.0
Churiyamai,27.37,84.98,659.0
Basmadi,27.47,84.97,816.0
Khairang,27.65,84.83,1006.0
Agara,27.68,85.0,1212.0
Padmapokhari,27.57,84.98,1170.0
Charikhet,27.52,84.88,654.0
Kulekhani,27.57,85.15,1613.0
Chitlang,27.63,85.17,1781.0
Hetauda,27.42,85.0,449.0
Makwanur gadi,27.42,85.12,803.0
Shreepur Chatwan,27.3,85.2,262.0
Thaparban,27.3,85.37,404.0
Raigaon,27.2,85.45,322.0
Tistung,27.68,85.07,1503.0
Makwanpur,27.55,85.02,1031.0
Khansar,28.68,83.88,5188.0
Tachibagar,28.57,84.32,4022.0
Nache,28.5,84.37,2587.0
Chame,28.52,84.22,4089.0
Thoche,28.63,84.47,3965.0
Dharapani,28.48,84.48,4293.0
Singhadevi,26.83,87.47,1669.0
Ramtikhola,26.82,87.58,1557.0
Jante,26.73,87.55,268.0
Urlabari,26.65,87.6,149.0
Hasandaha,26.57,86.57,109.0
Kaseni,26.57,87.4,109.0
Tankisinuwari,26.52,87.27,110.0
Kathamaha,26.45,87.37,111.0
Biratnagar,26.45,87.25,111.0
Buddhanagar,26.38,87.3,72.0
Jhurkiya,26.42,87.63,110.0
Belbari,26.65,87.42,154.0
Kerabari,26.75,87.4,328.0
Rangeli,26.45,87.5,86.0
Amardaha,26.52,87.55,92.0
bahuni,26.58,87.43,85.0
Tandi,26.78,87.62,604.0
Rara,29.53,82.07,3013.0
Ghumtha,29.48,81.87,2556.0
Gima,29.62,82.0,2996.0
Rugha,29.62,82.18,3311.0
Pulu,29.57,82.4,2446.0
Dolphu,29.52,82.6,4762.0
Seri_1,29.53,81.97,2926.0
Pina,29.47,82.13,2748.0
Photu,29.7,82.02,2027.0
Salsalla,29.73,82.03,1865.0
Chonhup,29.28,83.92,4736.0
Lomanthang,29.18,83.85,5413.0
Surkhang,28.95,84.03,4791.0
Sanboche,28.98,83.82,3981.0
Chusang,28.92,83.77,4420.0
Marpha,28.82,83.63,5217.0
Kagbeni,28.82,83.77,2938.0
Jomsom,28.75,83.77,3666.0
Muktinath,28.78,83.85,4136.0
Khowang,28.65,83.55,3968.0
Kunjo,28.62,83.67,2902.0
Lete,28.6,83.58,3730.0
Gunjakhani,28.67,83.17,4524.0
Mudi,28.63,83.37,3112.0
Lulang,28.52,83.2,2700.0
Muna,28.53,83.27,2842.0
Takan,28.45,83.35,2009.0
Tawang,28.4,83.4,1517.0
Beni,28.37,83.53,1841.0
Chimkhola,28.52,83.52,2805.0
Tatopani,28.48,83.62,223.0
Dana,28.52,83.62,2300.0
Narchyang,28.58,83.73,4133.0
Annapurna Dakshin,28.53,83.75,2974.0
Sikha,28.43,83.68,2465.0
Ghodepani,28.4,83.7,2875.0
Ramche,28.37,83.63,2046.0
Niskot,28.38,83.37,2068.0
Marang,28.48,83.38,2135.0
Dedgaon,27.83,84.1,428.0
Bulintar,27.8,84.18,680.0
Narang,27.78,84.05,1175.0
Hupsekot,27.72,83.98,992.0
Dechuli,27.7,84.18,609.0
Kawasoti,27.63,84.12,165.0
Nawalpur District,27.67,84.05,245.0
Chanauli,27.57,84.03,170.0
Dumkibas,27.58,83.85,241.0
Rakchuli,27.7,83.9,1023.0
Sardi Bagaicha,27.65,83.83,205.0
Tamaspur,27.55,83.93,186.0
Tribeni,27.45,83.9,149.0
Baguban,27.55,83.92,158.0
Jyamire,27.57,83.85,186.0
Bharatipur,27.82,84.13,580.0
Rajahar,27.73,84.23,615.0
Kintan,28.17,85.05,1957.0
Balche,28.03,85.12,2625.0
Kaule_1,28.0,85.12,1434.0
Deurali_2,27.97,85.13,1275.0
Gerkhu,27.95,85.2,1263.0
Kharanitar,27.92,85.3,924.0
Bidur,27.9,85.13,646.0
Samari,27.95,85.03,1450.0
Taruka,27.87,85.0,1119.0
Ratmate,27.83,85.02,567.0
Duipai,27.82,85.08,1234.0
Kumari,27.77,85.13,1172.0
Melkot,27.82,85.15,1203.0
Kakani,27.82,85.23,1672.0
Thansing,27.87,85.27,658.0
Samundratar,27.93,85.37,1423.0
Gaurikharka,27.93,85.45,1757.0
Sikharbesi,27.98,85.38,2401.0
Ghyanfedi,28.0,85.47,2623.0
Mahakali,27.87,85.37,1329.0
Chhap,27.82,85.4,1481.0
Talakhu,27.85,85.43,1647.0
Rawadolu,27.5,86.35,2081.0
Khiiji,27.45,86.32,1817.0
Khiji Phalate,27.4,86.37,2392.0
Patle,27.43,86.42,2621.0
Jantarkhani,27.4,86.48,2447.0
Baraneswor,27.33,86.47,1532.0
Pokali,27.42,86.27,1737.0
Yasam,27.37,86.27,1706.0
Singhadevi_1,27.33,86.23,1276.0
Palapu,27.27,86.25,956.0
Phulbari_2,27.32,86.28,1213.0
Fediguth,27.28,86.32,1652.0
Balakhu,27.25,86.3,1350.0
Sisneri,27.23,86.37,1200.0
Katunje_1,27.32,86.38,1469.0
Okhaldhunga,27.32,86.5,1724.0
Moli,27.22,86.52,942.0
Thakele,27.15,86.43,412.0
Taluwa,27.23,86.57,975.0
Pokhare,27.3,86.65,1019.0
Chahara,27.87,83.37,1316.0
Dhovan,27.75,83.47,763.0
Madanpokhara,27.8,83.55,1000.0
Tansen,27.85,83.53,1097.0
Devinagar,27.8,83.68,1134.0
Birkot,27.85,83.77,1237.0
Lampur,27.85,83.9,524.0
Mityl,27.73,83.9,698.0
Gothadi,27.72,83.63,1356.0
Koldanda,27.75,83.55,793.0
Palpa,27.82,83.62,773.0
Rupse,27.8,83.63,1031.0
Fek,27.82,83.37,1467.0
Satyawatu,27.8,83.25,905.0
Baldengadhi,27.77,83.32,901.0
Falaicha,27.3,88.0,2579.0
Chyangthapu,27.27,87.93,1537.0
Memeng,27.2,87.95,2318.0
Oyam,27.25,87.88,1540.0
Nagi,27.25,87.82,1487.0
Shubhang,27.2,87.75,1019.0
Amarpur_1,27.25,87.73,1492.0
Yangnam,27.15,87.85,2053.0
Ekteen,27.2,87.87,1684.0
Prangbung,27.15,87.95,2379.0
Chhinthapu,27.08,87.9,3097.0
Panchthar,27.12,87.8,1743.0
Ranitar,27.07,87.82,2292.0
Phidim,27.12,87.77,1898.0
Ranigaon,27.08,87.63,1376.0
Phaktep,27.02,87.72,1712.0
Syabarunba,27.07,87.58,995.0
Aangna,27.02,87.57,1089.0
Okale,26.97,87.62,1474.0
Mouwa,26.97,87.52,1162.0
Durdimba,26.92,87.53,1203.0
Limba,26.87,87.6,1914.0
Aarubot,26.92,87.62,1411.0
Tribeni_1,28.02,83.65,824.0
Bbaccha,28.08,83.6,1452.0
Lunkhudeurali,28.1,83.67,1355.0
Behadiranipani,28.03,83.57,906.0
Urampokhara,28.05,83.62,1504.0
Bhorla,28.07,83.68,1088.0
Palebhaj,28.15,83.63,866.0
Thapathana,28.17,83.72,1407.0
Panchase,28.22,83.78,2310.0
Pakuwa,28.22,83.72,1012.0
Kusma,28.23,83.68,1402.0
Khurkot,28.25,83.65,1207.0
Mallaj,28.35,83.57,1377.0
Kyang,28.3,83.67,2087.0
Ghodepani_1,28.38,83.68,2880.0
Deupur_1,28.28,83.73,1275.0
Bhuktangle,28.35,83.7,2242.0
Mainpur,27.02,84.73,89.0
Birjung,27.03,84.87,89.0
Mahuwan,27.1,84.78,86.0
Jitpur_1,27.17,84.72,89.0
Gadi,27.2,84.8,127.0
Biruwaguthi,28.5,84.9,150.0
parsa National park,27.33,84.85,412.0
Nepalbasti,27.3,84.65,199.0
Thori,27.37,84.57,298.0
Ghodamasan,27.37,84.78,400.0
Pyuthan Khalanga_1,28.08,82.87,1188.0
Pyuthan,28.1,82.85,846.0
Dakhakwadi,28.08,82.8,1211.0
Bijaynagar,28.12,82.82,1106.0
Majhakot_1,28.13,82.85,1601.0
Dharmawati,28.13,82.88,1335.0
bakula,28.12,82.88,824.0
Maranthana,28.1,82.9,1187.0
Shiva mandir,28.08,82.9,1633.0
Jhhurmikanda,28.15,82.8,1607.0
Bethan,27.48,85.8,1041.0
Diamba,27.5,85.92,1993.0
Khadadevi,27.48,85.93,1664.0
Gaylu,27.43,86.07,1134.0
Sanosailung,27.58,85.87,1925.0
Tokalpur,27.55,85.9,2550.0
Pinkhuri,27.45,85.98,1003.0
Bhirpani,27.4,85.93,922.0
baluwajor,27.33,86.02,1242.0
Ramechhap,27.32,86.1,1412.0
Rampur,27.27,86.15,1175.0
Saghutar,27.35,86.2,1110.0
Manthali,27.38,86.05,533.0
Saipu,27.43,86.22,1682.0
Namadi,27.48,86.18,2157.0
Betali,27.53,86.15,1402.0
Gupteswor,27.5,86.23,2256.0
Those,27.57,86.25,2119.0
Kyama,27.63,86.42,2432.0
Chuchure,27.65,86.33,2752.0
Gundel,27.7,86.47,3440.0
Bhorley,27.98,85.23,1625.0
yarsa,27.98,85.3,2039.0
Ramche_1,28.03,85.22,2037.0
haku,28.1,85.23,2472.0
Dhunche,28.1,85.28,2334.0
Syafru,28.12,85.45,3422.0
Thulosyafru,28.13,85.35,2103.0
Safrubesi,28.17,85.32,2154.0
thuman,28.25,85.33,2713.0
Gompa,28.2,85.48,3358.0
Lantang,28.2,85.62,4840.0
Rajdevi,26.77,85.32,109.0
Rajpur,26.82,85.23,110.0
Pataura,26.92,85.2,109.0
Bariyarpur_1,26.93,85.35,110.0
Samanpur,26.98,85.38,110.0
Simara,27.03,85.3,112.0
Bisrampur,27.05,85.4,128.0
Santapur,27.07,85.33,150.0
Sanakpur,27.08,85.23,146.0
Ashrang,27.1,85.3,156.0
Paurai,27.13,85.43,162.0
Chandrapur,27.17,85.37,195.0
Bandevi,27.2,85.27,229.0
Masina,28.15,82.57,1479.0
Nuwagaon,28.23,82.48,1581.0
Kubine,28.32,82.38,1521.0
Gairigaon,28.3,82.52,1895.0
Talaban,28.42,82.5,1498.0
Rolpa,28.38,82.63,2038.0
Thawang,28.48,82.72,2412.0
Guwa,28.45,82.78,2283.0
Gaam,28.37,82.88,1961.0
Sirpa,28.23,82.8,1780.0
Fagam,28.32,82.73,1299.0
Mirul,28.43,82.67,2410.0
Bubaring,28.17,82.43,1199.0
Bijayaswori,28.62,82.22,985.0
Nuwakot_1,28.27,82.32,1341.0
Kholagaon,28.62,82.28,1285.0
Simle,28.65,82.33,1108.0
Muru,28.57,82.4,1529.0
Rugha_1,28.53,82.42,1662.0
Bhalakcha,28.58,82.45,1578.0
Musikot_1,28.58,82.53,2037.0
Musikot Khalanga_1,28.62,82.48,2068.0
Duli,28.7,82.37,1809.0
Ghetma,28.72,82.3,1903.0
Barfikot,28.7,82.48,1498.0
Pipal,28.68,82.57,1745.0
Syalkhali,28.77,82.53,2839.0
Gautamkot,28.9,82.58,3154.0
Piprahawa,27.37,83.28,109.0
Bhagwanpur,27.43,83.28,110.0
Lumbini,27.45,83.25,109.0
Kamahariya,27.52,83.33,125.0
Siddharthanagar,27.5,83.42,150.0
Gangolia,27.55,83.52,149.0
Tilotamma,27.62,83.47,149.0
Shankharnagar,27.65,83.47,189.0
Butwal,27.68,83.42,190.0
Saljhundi,27.7,83.23,190.0
Rudrapur,27.62,83.23,149.0
Suryapur,27.58,83.3,150.0
Devdaha,27.65,83.57,215.0
Kavrechaur,28.35,81.78,1073.0
Kalimatikalche,28.3,81.93,574.0
Kalimati Rampur,28.22,81.97,697.0
Nigalchuwa,28.37,82.0,1780.0
Sharda,28.37,82.13,1379.0
Kavra,28.27,82.18,1038.0
Tribeni_2,28.3,82.28,1238.0
Tamachaur,28.38,82.33,1776.0
Tharmare,28.45,82.27,1643.0
Kalagaon,28.6,82.18,1116.0
bame,28.58,82.03,1430.0
Sarpanigarpa,28.22,82.38,1588.0
Sinwang,28.28,82.35,1301.0
Suikot,28.57,82.13,1375.0
Siddheswar_1,28.45,82.2,1656.0
Khalanga_1,28.35,82.17,1068.0
Mamling,27.22,87.3,1392.0
Chainpur_1,27.25,87.23,834.0
Sabhapokhari,27.43,87.4,1739.0
Khadbari,27.38,87.2,859.0
Bala,27.5,87.07,1538.0
Pathibhara,27.6,87.3,2147.0
Num,27.52,87.35,1699.0
Pauwakhola,27.62,87.43,2897.0
Chepuwa,27.75,87.52,3591.0
Kimathanka,27.82,87.38,2666.0
Tamaphok,27.17,87.38,2591.0
Tumlingtar,27.3,87.2,440.0
Nundhaki,27.32,87.47,2267.0
Susuwakhola,27.48,87.0,1847.0
Nargho,26.48,86.67,109.0
Aato,26.5,86.6,109.0
Kachan,26.55,86.55,111.0
Dhangadhi,26.6,86.55,109.0
Kalyanpur,26.63,86.62,149.0
Kushaha,26.68,86.57,229.0
hardiya,26.75,86.53,155.0
Kataiya,26.57,86.68,121.0
Sitapur_2,26.62,86.77,150.0
Bakdhawa,26.67,86.82,222.0
Kancharup,26.63,86.87,149.0
Fatepur,26.72,86.92,149.0
Bhardha,26.53,86.92,112.0
Inaruwa,26.5,86.83,109.0
Bishaharia,26.48,86.77,109.0
Rajbiraj,26.53,86.75,112.0
Malbari,26.78,85.4,110.0
Ramnagar,26.83,85.37,109.0
Simara_1,26.8,85.47,110.0
Godeta,26.85,85.47,109.0
Manpur,26.92,85.4,109.0
Dhangadha,26.92,85.45,109.0
Jamunia,26.93,85.53,109.0
Brahmapuri,26.88,85.58,111.0
Malnagwa,26.85,85.55,109.0
Parsa,26.88,85.62,110.0
Haripura,26.88,85.65,116.0
Basantapur,26.92,85.68,150.0
Bhaktipur,26.95,85.65,149.0
Ishorpur,26.98,85.63,149.0
Atrauli,27.12,85.6,212.0
Hariwon,27.08,85.57,174.0
Dhugrekhola,27.1,85.5,149.0
Parwanipur,27.12,85.73,495.0
Narayankhola,27.17,85.72,364.0
Pipalmadi,27.27,85.48,344.0
Hariharpurgadhi,27.32,85.48,819.0
Mahendrajhayadi,27.28,85.57,368.0
Kapilakot,27.27,85.63,337.0
Kalpabrishyak,27.22,85.7,387.0
Dandigurashe,27.2,85.82,491.0
Santaswori,27.35,85.72,1086.0
Dumja,27.42,85.82,812.0
Amale,27.33,85.85,1082.0
Sitalpati,27.35,85.93,772.0
Bhimeswor,27.32,85.98,825.0
Tinkanya,27.22,86.05,1128.0
belghari,27.1,86.03,599.0
Nipane,27.0,86.12,377.0
tandi,26.93,86.23,297.0
Dudhauli,26.97,86.27,189.0
Arunthakur,27.07,86.27,731.0
Ratnawati,27.13,86.32,1260.0
Khangsang,27.22,86.27,951.0
Balajhor,27.17,86.12,1058.0
Thokarpa,27.67,85.77,1235.0
Tauthali,27.72,85.9,1651.0
Barabise,27.78,85.9,1225.0
Listikot,27.92,85.88,2549.0
Tatopani_1,27.97,85.92,3363.0
Chautara,27.77,85.7,1128.0
Melamchi,27.82,85.57,885.0
helambu,28.05,85.5,3332.0
Ghotang,28.03,85.67,3871.0
Gumba,28.05,85.82,4544.0
Thanpalkot,27.93,85.65,1914.0
Syaulebazar,27.82,85.68,1800.0
Sangachok,27.67,85.7,1161.0
Sukute,27.7,85.75,832.0
Bansbari,27.8,85.55,1115.0
Thakani,27.83,85.47,1696.0
Eichok,27.92,85.5,1736.0
Golche,28.0,85.75,3006.0
Madar,26.62,86.17,110.0
Aurahi,26.62,86.28,111.0
Barirpatti,26.62,86.33,110.0
Tulsipur_1,26.65,86.32,109.0
Bhagwanpur_1,26.58,86.47,110.0
Laxmipur Pattari,26.67,86.38,110.0
Sukhipur,26.7,86.33,110.0
Dhangadhi_1,26.75,86.4,166.0
Lahan,26.72,86.47,151.0
Dhodhana,26.77,86.48,153.0
Govindapur,26.8,86.52,237.0
Muksar,26.82,86.38,222.0
Phulbariya,26.85,86.27,158.0
Karjanha,26.85,86.2,147.0
bandipur,26.88,86.15,148.0
Media,26.78,86.17,110.0
Betunja,26.72,86.35,117.0
Hanumannagar,26.68,86.25,105.0
Hakpara,26.65,86.25,99.0
Salyansolu,27.37,86.6,1373.0
panchan,27.38,86.65,1372.0
garma,27.45,86.58,2617.0
Tapting,27.47,86.45,3067.0
Goli,27.53,86.42,2883.0
Bhakanje,27.58,86.45,2692.0
Phera,27.55,86.58,2555.0
Beni_1,27.62,86.53,3170.0
Lukla,27.67,86.72,2830.0
Benkar,27.75,86.7,3064.0
Namchebazar,27.8,86.7,3782.0
Jumbing,26.6,86.72,2666.0
Kaku,27.5,86.65,2042.0
Sautang,27.47,86.78,2167.0
Gudel,27.48,86.85,2632.0
Bung,27.62,86.83,4510.0
Dudhkunda,27.57,86.55,3343.0
Haripur,26.52,86.85,110.0
Madhuban,26.63,87.05,110.0
Inaruwa_1,26.6,87.15,109.0
Diwanganj,26.45,87.13,110.0
Chhitaha,26.52,87.18,110.0
Dhuwabi,26.55,87.27,110.0
Khanar,26.62,87.27,111.0
Itahari,26.65,87.27,140.0
Bakalauri,26.7,87.22,146.0
Mahendranagar_1,26.73,87.1,110.0
Bharaul,26.77,87.18,173.0
baharachetra,26.82,87.17,179.0
Bisnupatuka,26.85,87.23,1124.0
Panchkanya,26.82,87.32,1230.0
Dharan,26.8,87.27,377.0
Bhadgaon,26.67,87.2,125.0
Rakam,28.5,81.98,113.0
Gumi,28.47,81.85,1218.0
Manarani,28.33,81.92,987.0
Neta_1,28.5,81.83,1118.0
Birendranagar,28.57,81.6,696.0
Paranga,28.63,81.4,683.0
tatopani,28.72,81.32,794.0
Gutu,28.87,81.3,795.0
lagam,28.92,81.05,1139.0
Agragaon,28.58,81.98,1185.0
Akanadevi,27.95,83.52,1200.0
mirmee,27.97,83.57,558.0
Malunga,27.9,83.63,736.0
Galyanbazar,27.93,83.67,731.0
Kapwadi,27.92,83.73,737.0
Waling,27.97,83.77,903.0
Sworek,28.02,83.75,1067.0
Manakamana_1,27.98,83.87,1405.0
Orasle,28.05,83.9,1010.0
Kyakmi,27.93,83.93,669.0
Sekham,27.92,83.87,883.0
Maljhuwa,27.87,83.92,377.0
Chapakot,27.88,83.82,490.0
Putalibazar,28.1,83.85,951.0
Taksar,28.12,83.97,887.0
Phedikhola,28.15,83.88,1141.0
Setidhovan,28.15,83.82,1173.0
Aruncharu,28.12,83.72,1491.0
Arunchautari,28.08,83.75,1250.0
Darsing Dahathum,28.03,83.78,943.0
Gajarkot,27.88,83.98,679.0
Ghiringsundhara,27.9,84.02,877.0
Kihun,27.93,83.97,981.0
Arunodaya,27.97,84.0,967.0
Ranipokhari,27.95,84.13,832.0
Ramkjhakot,27.87,84.13,435.0
Khalte,27.82,84.28,300.0
Pota,27.77,84.33,634.0
Devghat,27.78,84.38,1056.0
Chimkeswori,27.83,84.47,940.0
Bandipur,27.92,84.4,761.0
Dumre,27.95,84.4,507.0
Pulkot,28.07,84.45,675.0
Merlung,28.07,84.38,793.0
Byas,27.98,84.27,361.0
Manpang,28.02,84.15,588.0
Dulegauda,28.07,84.08,691.0
Raipur,28.05,83.97,1017.0
Kahu Shivapur,27.92,84.23,922.0
Sangu,27.32,87.5,2583.0
Hangpang,27.28,87.6,1924.0
Khokling,27.38,87.63,1229.0
Sinam,27.3,87.82,1249.0
Yamfudin,27.5,87.98,4080.0
Tapethok,27.5,87.82,2735.0
Papung,27.52,87.6,2567.0
Surumakhim,27.38,87.95,2462.0
Taplejung,27.62,87.77,3779.0
Panchakanya Pokhari,26.98,87.47,1040.0
Phakchamara,27.02,87.5,790.0
Okhare,27.05,87.5,1345.0
Sudap,27.08,87.47,1341.0
Jirikhuimti,27.15,87.48,1757.0
Basantaput,27.13,87.4,2325.0
Jaljale,27.13,87.57,1241.0
Moharang,27.2,87.48,1858.0
Shreejung,27.25,87.5,2105.0
Samdu,27.23,87.57,1942.0
Chuhandanda,27.15,87.68,1316.0
Hwaku,27.25,87.65,1571.0
Chhatedhunga,27.2,87.73,602.0
Mainamihani,26.87,87.12,620.0
Rampur Thoksila,26.78,87.07,110.0
Tapeswori,26.75,86.98,175.0
Chaudandi,26.87,86.93,672.0
Hariya,26.77,86.83,150.0
Gaighat,26.78,86.68,175.0
Saune,26.85,86.77,590.0
Salle,26.97,86.7,1297.0
Pachchawati,26.9,86.52,504.0
Barai,26.98,86.55,934.0
Rampur_1,27.08,86.55,1177.0
Rasuwa,27.07,86.42,840.0
Lekhane,27.13,86.38,1161.0
Patale,26.9,86.3,317.0
Risku,26.95,86.43,362.0
Jogidaha,26.73,86.77,166.0
Ghaighat Triyuga,26.77,86.63,257.0
Jalpachilaune,26.87,86.67,700.0
Ramite,26.9,86.68,959.0
katari,26.95,86.37,218.0
